"TOA5","IFSC","CR1000","51714","CR1000.Std.32.03","CPU:Exp03_PT100.CR1","52951","exp03"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","PT100_Avg","termopar_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2022-11-09 09:22:00",0,9.05,21.45,-27.67,"NAN"
"2022-11-09 09:23:00",1,8.99,21.51,20.8,"NAN"
"2022-11-09 09:24:00",2,8.8,21.64,114.3,"NAN"
"2022-11-09 09:22:00",0,9.05,21.45,-27.67,"NAN"
"2022-11-09 09:23:00",1,8.99,21.51,20.8,"NAN"
"2022-11-09 09:24:00",2,8.8,21.64,114.3,"NAN"
"2022-11-09 09:34:00",3,12.6,21.89,24.73,22.38
"2022-11-09 09:35:00",4,12.6,21.89,22.57,22.25
"2022-11-09 09:36:00",5,12.6,21.89,22.42,19.92
"2022-11-09 09:37:00",6,12.6,21.92,22.48,"NAN"
"2022-11-09 09:38:00",7,11.45,21.95,32.1,25.83
"2022-11-09 09:39:00",8,11.57,21.97,32.97,26.13
"2022-11-09 09:40:00",9,12.6,21.97,19.34,19.19
"2022-11-09 09:41:00",10,12.59,21.97,11.92,18.73
"2022-11-09 09:42:00",11,12.59,22,20.83,19.55
"2022-11-09 09:07:00",0,12.59,22.08,0.253,0.423
"2022-11-09 09:08:00",1,12.59,22.08,0.202,0.445
"2022-11-09 09:09:00",2,12.59,22.11,0.56,0.54
"2022-11-09 09:10:00",3,12.59,22.11,0.338,0.602
"2022-11-09 09:11:00",4,12.59,22.14,0.523,0.618
"2022-11-09 09:12:00",5,12.59,22.14,0.565,0.882
"2022-11-09 09:13:00",6,12.59,22.17,1.014,0.622
"2022-11-09 09:14:00",7,12.59,22.17,0.726,0.688
"2022-11-09 09:15:00",8,12.59,22.19,0.654,0.722
"2022-11-09 09:16:00",9,12.59,22.19,0.661,0.806
"2022-11-09 09:17:00",10,12.59,22.22,0.682,0.741
"2022-11-09 09:18:00",11,12.59,22.22,0.73,0.946
"2022-11-09 09:19:00",12,12.59,22.25,0.753,0.888
"2022-11-09 09:20:00",13,12.59,22.25,0.755,0.734
"2022-11-09 09:21:00",14,12.59,22.28,0.757,0.908
"2022-11-09 09:22:00",15,12.59,22.31,0.758,0.837
"2022-11-09 09:23:00",16,12.59,22.33,0.76,0.938
"2022-11-09 09:24:00",17,12.59,22.36,0.799,0.914
"2022-11-09 09:25:00",18,12.59,22.39,0.835,0.775
"2022-11-09 09:26:00",19,12.59,22.39,0.849,0.935
"2022-11-09 09:27:00",20,12.59,22.39,0.881,0.976
"2022-11-09 09:28:00",21,12.59,22.42,0.94,0.948
"2022-11-09 09:29:00",22,12.59,22.42,0.94,0.982
"2022-11-09 09:30:00",23,12.59,22.42,0.941,1.02
"2022-11-09 09:31:00",24,12.59,22.45,0.942,1.001
"2022-11-09 09:32:00",25,12.59,22.42,0.943,1.168
"2022-11-09 09:33:00",26,12.59,22.42,0.943,1.128
"2022-11-09 09:34:00",27,12.59,22.39,1.066,1.284
"2022-11-09 09:35:00",28,12.59,22.39,1.189,1.179
"2022-11-09 09:36:00",29,12.59,22.39,1.184,1.199
"2022-11-09 09:37:00",30,12.59,22.39,1.212,1.236
"2022-11-09 09:38:00",31,12.59,22.39,1.333,1.31
"2022-11-09 09:39:00",32,12.59,22.39,1.499,1.365
"2022-11-09 09:40:00",33,12.59,22.39,1.582,1.449
"2022-11-09 09:41:00",34,12.59,22.39,1.628,1.561
"2022-11-09 09:42:00",35,12.59,22.39,1.64,1.625
"2022-11-09 09:43:00",36,12.59,22.39,1.634,1.689
"2022-11-09 09:44:00",37,12.59,22.39,1.637,1.779
"2022-11-09 09:45:00",38,12.59,22.42,1.776,1.759
