"TOA5","IFSC","CR1000","51714","CR1000.Std.32.03","CPU:Experimento 02 MVP.CR1","54022","saida_1min"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","rad_in_Avg","rad_ref_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2022-09-28 09:52:00",0,12.33,22.84,1.309,1.335
"2022-09-28 09:53:00",1,12.33,22.81,1.383,1.38
"2022-09-28 09:55:00",2,12.33,22.75,10.23,1.426
"2022-09-28 09:56:00",3,12.33,22.78,182.9,42.88
"2022-09-28 09:57:00",4,12.33,22.81,164.3,2.281
"2022-09-28 09:58:00",5,12.33,22.87,105.1,1.903
"2022-09-28 09:59:00",6,12.33,22.87,1.211,1.179
"2022-09-28 10:00:00",7,12.33,22.87,1.286,1.235
"2022-09-28 10:01:00",8,12.33,22.84,1.458,1.157
"2022-09-28 10:02:00",9,12.33,22.81,1.642,2.303
"2022-09-28 10:03:00",10,12.33,22.73,6.389,44.03
"2022-09-28 10:04:00",11,12.33,22.73,22.92,94.5
"2022-09-28 10:05:00",12,12.3,22.81,172.1,181.8
"2022-09-28 10:06:00",13,12.31,23.07,459.9,80.3
"2022-09-28 10:07:00",14,12.33,23.44,479.6,92.2
"2022-09-28 10:08:00",15,12.33,23.81,431.9,89.1
"2022-09-28 10:09:00",16,12.33,24.22,398.2,83.4
"2022-09-28 10:10:00",17,12.34,24.42,379.7,79.17
"2022-09-28 10:11:00",18,12.34,24.66,396.4,82.6
"2022-09-28 10:12:00",19,12.34,24.81,357.1,84.3
"2022-09-28 10:13:00",20,12.33,24.87,371.4,78.33
"2022-09-28 10:14:00",21,12.34,24.78,386.4,82.5
"2022-09-28 10:15:00",22,12.33,24.84,382.1,93.3
"2022-09-28 10:16:00",23,12.33,24.78,398.2,98
"2022-09-28 10:17:00",24,12.34,24.84,418,102.6
"2022-09-28 10:18:00",25,12.34,24.92,367.8,90.5
"2022-09-28 10:19:00",26,12.34,24.92,328.6,81
"2022-09-28 10:20:00",27,12.33,24.87,301.2,65.02
"2022-09-28 10:21:00",28,12.34,24.84,324.9,36.3
"2022-09-28 10:22:00",29,12.33,24.89,330.7,30.46
"2022-09-28 10:23:00",30,12.33,24.98,350.6,22.86
"2022-09-28 10:24:00",31,12.33,25.04,395.7,25.65
"2022-09-28 10:25:00",32,12.34,25.13,427.9,28.03
"2022-09-28 10:26:00",33,12.34,25.31,431.1,28.03
"2022-09-28 10:27:00",34,12.34,25.49,404,26.46
"2022-09-28 10:28:00",35,12.34,25.31,324.5,45.43
"2022-09-28 10:29:00",36,12.33,24.92,312.6,63.16
"2022-09-28 10:30:00",37,12.34,24.89,319.6,64.39
"2022-09-28 10:31:00",38,12.33,24.95,360,76.82
"2022-09-28 10:32:00",39,12.34,24.98,361.4,77.79
"2022-09-28 10:33:00",40,12.34,24.95,343.3,74.85
"2022-09-28 10:34:00",41,12.34,24.95,333.1,72.98
"2022-09-28 10:35:00",42,12.34,24.98,343.7,74.72
"2022-09-28 10:36:00",43,12.34,25.04,359.1,77.54
"2022-09-28 10:37:00",44,12.33,24.84,275.2,65.21
"2022-09-28 10:38:00",45,12.34,24.39,61.27,104.8
"2022-09-28 10:39:00",46,12.32,23.47,43.61,30.81
"2022-09-28 10:40:00",47,12.34,23.07,45.77,27.25
"2022-09-28 10:41:00",48,12.34,22.7,50.72,25.27
"2022-09-28 10:42:00",49,12.33,22.42,56.68,34.83
"2022-09-28 10:43:00",50,12.33,22.19,55.03,37.63
"2022-09-28 10:44:00",51,12.33,22,53.46,33.84
"2022-09-28 10:45:00",52,12.34,21.81,55.71,34.57
"2022-09-28 10:46:00",53,12.34,21.56,54.29,32.98
"2022-09-28 10:47:00",54,12.34,21.34,55.54,32.34
"2022-09-28 10:48:00",55,12.33,21.18,46.92,11.11
"2022-09-28 10:49:00",56,12.33,21.18,56.39,7.755
"2022-09-28 10:50:00",57,12.33,21.29,0.792,1.024
"2022-09-28 10:51:00",58,12.33,21.34,0.913,1.335
"2022-09-28 10:52:00",59,12.33,21.4,1.378,1.324
"2022-09-28 10:53:00",60,12.33,21.45,1.056,1.335
"2022-09-28 10:54:00",61,12.33,21.51,1.699,1.313
"2022-09-28 10:55:00",62,12.33,21.53,1.274,1.335
"2022-09-28 10:56:00",63,12.33,21.56,1.257,1.335
"2022-09-28 10:57:00",64,12.33,21.62,1.102,1.313
"2022-09-28 10:58:00",65,12.33,21.64,1.223,1.246
"2022-09-28 10:59:00",66,12.33,21.67,1.728,1.324
"2022-09-28 11:00:00",67,12.33,21.7,1.2,1.191
"2022-09-28 11:01:00",68,12.33,21.72,1.177,1.168
"2022-09-28 11:02:00",69,12.33,21.72,1.108,1.335
