"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"24,2";"24,8";"24,2";"59,0";"59,0";"52,0";"15,8";"15,8";"14,3";"993,7";"993,7";"993,2";"1,8";"109,0";"3,9";"";"0,0"
"01/01/2022";"0100";"23,6";"24,4";"23,5";"61,0";"63,0";"58,0";"15,8";"16,3";"15,5";"994,0";"994,0";"993,7";"2,0";"137,0";"4,6";"";"0,0"
"01/01/2022";"0200";"23,1";"23,8";"23,1";"64,0";"64,0";"59,0";"15,9";"15,9";"15,2";"993,5";"994,0";"993,5";"2,5";"111,0";"4,5";"";"0,0"
"01/01/2022";"0300";"21,6";"23,1";"21,5";"75,0";"75,0";"64,0";"16,9";"16,9";"15,7";"993,1";"993,5";"993,1";"2,6";"137,0";"4,5";"";"0,0"
"01/01/2022";"0400";"21,4";"21,6";"21,2";"80,0";"80,0";"75,0";"17,8";"17,8";"16,9";"992,9";"993,2";"992,8";"2,1";"130,0";"3,9";"";"0,0"
"01/01/2022";"0500";"21,5";"21,5";"20,8";"82,0";"83,0";"80,0";"18,2";"18,2";"17,6";"992,6";"992,9";"992,6";"1,9";"92,0";"3,7";"";"0,0"
"01/01/2022";"0600";"21,0";"21,5";"21,0";"83,0";"83,0";"81,0";"18,0";"18,3";"17,9";"992,8";"992,8";"992,5";"1,2";"113,0";"3,8";"";"0,0"
"01/01/2022";"0700";"20,1";"21,0";"20,1";"86,0";"87,0";"83,0";"17,7";"18,3";"17,4";"993,0";"993,0";"992,7";"1,3";"105,0";"2,2";"";"0,0"
"01/01/2022";"0800";"20,1";"20,5";"20,0";"87,0";"88,0";"86,0";"17,9";"18,3";"17,8";"993,4";"993,4";"993,0";"1,2";"73,0";"2,8";"";"0,0"
"01/01/2022";"0900";"21,7";"21,8";"20,0";"83,0";"89,0";"83,0";"18,7";"18,9";"17,9";"993,8";"993,9";"993,4";"1,3";"69,0";"2,6";"264,30";"0,0"
