"DateTime";"FLORIANOPOLIS"
"2022-11-01 00:00:00";162
"2022-11-01 01:00:00";164
"2022-11-01 02:00:00";160
"2022-11-01 03:00:00";155
"2022-11-01 04:00:00";167
"2022-11-01 05:00:00";162
"2022-11-01 06:00:00";241
"2022-11-01 07:00:00";238
"2022-11-01 08:00:00";213
"2022-11-01 09:00:00";227
"2022-11-01 10:00:00";231
"2022-11-01 11:00:00";224
"2022-11-01 12:00:00";222
"2022-11-01 13:00:00";238
"2022-11-01 14:00:00";245
"2022-11-01 15:00:00";239
"2022-11-01 16:00:00";241
"2022-11-01 17:00:00";234
"2022-11-01 18:00:00";212
"2022-11-01 19:00:00";232
"2022-11-01 20:00:00";222
"2022-11-01 21:00:00";174
"2022-11-01 22:00:00";214
"2022-11-01 23:00:00";242
"2022-11-02 00:00:00";228
"2022-11-02 01:00:00";218
"2022-11-02 02:00:00";164
"2022-11-02 03:00:00";223
"2022-11-02 04:00:00";226
"2022-11-02 05:00:00";239
"2022-11-02 06:00:00";239
"2022-11-02 07:00:00";240
"2022-11-02 08:00:00";250
"2022-11-02 09:00:00";230
"2022-11-02 10:00:00";231
"2022-11-02 11:00:00";242
"2022-11-02 12:00:00";165
"2022-11-02 13:00:00";152
"2022-11-02 14:00:00";149
"2022-11-02 15:00:00";143
"2022-11-02 16:00:00";145
"2022-11-02 17:00:00";148
"2022-11-02 18:00:00";149
"2022-11-02 19:00:00";147
"2022-11-02 20:00:00";147
"2022-11-02 21:00:00";146
"2022-11-02 22:00:00";147
"2022-11-02 23:00:00";155
"2022-11-03 00:00:00";166
"2022-11-03 01:00:00";184
"2022-11-03 02:00:00";282
"2022-11-03 03:00:00";263
"2022-11-03 04:00:00";265
"2022-11-03 05:00:00";269
"2022-11-03 06:00:00";314
"2022-11-03 07:00:00";236
"2022-11-03 08:00:00";254
"2022-11-03 09:00:00";254
"2022-11-03 10:00:00";333
"2022-11-03 11:00:00";5
"2022-11-03 12:00:00";170
"2022-11-03 13:00:00";131
"2022-11-03 14:00:00";142
"2022-11-03 15:00:00";132
"2022-11-03 16:00:00";122
"2022-11-03 17:00:00";125
"2022-11-03 18:00:00";126
"2022-11-03 19:00:00";131
"2022-11-03 20:00:00";123
"2022-11-03 21:00:00";123
"2022-11-03 22:00:00";129
"2022-11-03 23:00:00";139
"2022-11-04 00:00:00";149
"2022-11-04 01:00:00";173
"2022-11-04 02:00:00";227
"2022-11-04 03:00:00";284
"2022-11-04 04:00:00";277
"2022-11-04 05:00:00";242
"2022-11-04 06:00:00";246
"2022-11-04 07:00:00";243
"2022-11-04 08:00:00";220
"2022-11-04 09:00:00";277
"2022-11-04 10:00:00";280
"2022-11-04 11:00:00";225
"2022-11-04 12:00:00";131
"2022-11-04 13:00:00";167
"2022-11-04 14:00:00";115
"2022-11-04 15:00:00";149
"2022-11-04 16:00:00";120
"2022-11-04 17:00:00";122
"2022-11-04 18:00:00";132
"2022-11-04 19:00:00";146
"2022-11-04 20:00:00";153
"2022-11-04 21:00:00";153
"2022-11-04 22:00:00";149
"2022-11-04 23:00:00";176
"2022-11-05 00:00:00";157
"2022-11-05 01:00:00";180
"2022-11-05 02:00:00";184
"2022-11-05 03:00:00";268
"2022-11-05 04:00:00";288
"2022-11-05 05:00:00";84
"2022-11-05 06:00:00";261
"2022-11-05 07:00:00";301
"2022-11-05 08:00:00";171
"2022-11-05 09:00:00";227
"2022-11-05 10:00:00";233
"2022-11-05 11:00:00";128
"2022-11-05 12:00:00";158
"2022-11-05 13:00:00";158
"2022-11-05 14:00:00";145
"2022-11-05 15:00:00";120
"2022-11-05 16:00:00";148
"2022-11-05 17:00:00";120
"2022-11-05 18:00:00";135
"2022-11-05 19:00:00";136
"2022-11-05 20:00:00";122
"2022-11-05 21:00:00";147
"2022-11-05 22:00:00";146
"2022-11-05 23:00:00";147
"2022-11-06 00:00:00";154
"2022-11-06 01:00:00";186
"2022-11-06 02:00:00";257
"2022-11-06 03:00:00";296
"2022-11-06 04:00:00";258
"2022-11-06 05:00:00";182
"2022-11-06 06:00:00";295
"2022-11-06 07:00:00";266
"2022-11-06 08:00:00";275
"2022-11-06 09:00:00";287
"2022-11-06 10:00:00";260
"2022-11-06 11:00:00";168
"2022-11-06 12:00:00";147
"2022-11-06 13:00:00";143
"2022-11-06 14:00:00";153
"2022-11-06 15:00:00";155
"2022-11-06 16:00:00";163
"2022-11-06 17:00:00";165
"2022-11-06 18:00:00";158
"2022-11-06 19:00:00";154
"2022-11-06 20:00:00";147
"2022-11-06 21:00:00";169
"2022-11-06 22:00:00";160
"2022-11-06 23:00:00";169
"2022-11-07 00:00:00";192
"2022-11-07 01:00:00";198
"2022-11-07 02:00:00";156
"2022-11-07 03:00:00";183
"2022-11-07 04:00:00";255
"2022-11-07 05:00:00";257
"2022-11-07 06:00:00";281
"2022-11-07 07:00:00";252
"2022-11-07 08:00:00";251
"2022-11-07 09:00:00";253
"2022-11-07 10:00:00";262
"2022-11-07 11:00:00";191
"2022-11-07 12:00:00";161
"2022-11-07 13:00:00";151
"2022-11-07 14:00:00";149
"2022-11-07 15:00:00";155
"2022-11-07 16:00:00";150
"2022-11-07 17:00:00";155
"2022-11-07 18:00:00";160
"2022-11-07 19:00:00";160
"2022-11-07 20:00:00";157
"2022-11-07 21:00:00";157
"2022-11-07 22:00:00";164
"2022-11-07 23:00:00";174
"2022-11-08 00:00:00";179
"2022-11-08 01:00:00";189
"2022-11-08 02:00:00";185
"2022-11-08 03:00:00";206
"2022-11-08 04:00:00";235
"2022-11-08 05:00:00";263
"2022-11-08 06:00:00";243
"2022-11-08 07:00:00";276
"2022-11-08 08:00:00";252
"2022-11-08 09:00:00";244
"2022-11-08 10:00:00";256
"2022-11-08 11:00:00";120
"2022-11-08 12:00:00";174
"2022-11-08 13:00:00";150
"2022-11-08 14:00:00";141
"2022-11-08 15:00:00";146
"2022-11-08 16:00:00";152
"2022-11-08 17:00:00";158
"2022-11-08 18:00:00";152
"2022-11-08 19:00:00";147
"2022-11-08 20:00:00";147
"2022-11-08 21:00:00";143
"2022-11-08 22:00:00";157
"2022-11-08 23:00:00";161
"2022-11-09 00:00:00";270
"2022-11-09 01:00:00";149
"2022-11-09 02:00:00";204
"2022-11-09 03:00:00";277
"2022-11-09 04:00:00";24
"2022-11-09 05:00:00";274
"2022-11-09 06:00:00";322
"2022-11-09 07:00:00";296
"2022-11-09 08:00:00";285
"2022-11-09 09:00:00";223
"2022-11-09 10:00:00";233
"2022-11-09 11:00:00";121
"2022-11-09 12:00:00";122
"2022-11-09 13:00:00";144
"2022-11-09 14:00:00";56
"2022-11-09 15:00:00";62
"2022-11-09 16:00:00";75
"2022-11-09 17:00:00";125
"2022-11-09 18:00:00";126
"2022-11-09 19:00:00";123
"2022-11-09 20:00:00";119
"2022-11-09 21:00:00";153
"2022-11-09 22:00:00";127
"2022-11-09 23:00:00";129
"2022-11-10 00:00:00";142
"2022-11-10 01:00:00";148
"2022-11-10 02:00:00";202
"2022-11-10 03:00:00";37
"2022-11-10 04:00:00";310
"2022-11-10 05:00:00";313
"2022-11-10 06:00:00";291
"2022-11-10 07:00:00";263
"2022-11-10 08:00:00";304
"2022-11-10 09:00:00";282
"2022-11-10 10:00:00";295
"2022-11-10 11:00:00";325
"2022-11-10 12:00:00";46
"2022-11-10 13:00:00";54
"2022-11-10 14:00:00";63
"2022-11-10 15:00:00";155
"2022-11-10 16:00:00";127
"2022-11-10 17:00:00";127
"2022-11-10 18:00:00";125
"2022-11-10 19:00:00";120
"2022-11-10 20:00:00";123
"2022-11-10 21:00:00";121
"2022-11-10 22:00:00";116
"2022-11-10 23:00:00";119
"2022-11-11 00:00:00";120
"2022-11-11 01:00:00";129
"2022-11-11 02:00:00";147
"2022-11-11 03:00:00";275
"2022-11-11 04:00:00";292
"2022-11-11 05:00:00";310
"2022-11-11 06:00:00";292
"2022-11-11 07:00:00";331
"2022-11-11 08:00:00";22
"2022-11-11 09:00:00";297
"2022-11-11 10:00:00";238
"2022-11-11 11:00:00";324
"2022-11-11 12:00:00";302
"2022-11-11 13:00:00";142
"2022-11-11 14:00:00";23
"2022-11-11 15:00:00";13
"2022-11-11 16:00:00";4
"2022-11-11 17:00:00";9
"2022-11-11 18:00:00";13
"2022-11-11 19:00:00";23
"2022-11-11 20:00:00";23
"2022-11-11 21:00:00";14
"2022-11-11 22:00:00";8
"2022-11-11 23:00:00";344
"2022-11-12 00:00:00";356
"2022-11-12 01:00:00";354
"2022-11-12 02:00:00";313
"2022-11-12 03:00:00";331
"2022-11-12 04:00:00";304
"2022-11-12 05:00:00";186
"2022-11-12 06:00:00";337
"2022-11-12 07:00:00";322
"2022-11-12 08:00:00";286
"2022-11-12 09:00:00";253
"2022-11-12 10:00:00";335
"2022-11-12 11:00:00";359
"2022-11-12 12:00:00";351
"2022-11-12 13:00:00";7
"2022-11-12 14:00:00";3
"2022-11-12 15:00:00";32
"2022-11-12 16:00:00";8
"2022-11-12 17:00:00";3
"2022-11-12 18:00:00";11
"2022-11-12 19:00:00";11
"2022-11-12 20:00:00";360
"2022-11-12 21:00:00";12
"2022-11-12 22:00:00";360
"2022-11-12 23:00:00";3
"2022-11-13 00:00:00";32
"2022-11-13 01:00:00";39
"2022-11-13 02:00:00";37
"2022-11-13 03:00:00";35
"2022-11-13 04:00:00";10
"2022-11-13 05:00:00";2
"2022-11-13 06:00:00";359
"2022-11-13 07:00:00";330
"2022-11-13 08:00:00";315
"2022-11-13 09:00:00";328
"2022-11-13 10:00:00";351
"2022-11-13 11:00:00";11
"2022-11-13 12:00:00";10
"2022-11-13 13:00:00";10
"2022-11-13 14:00:00";30
"2022-11-13 15:00:00";40
"2022-11-13 16:00:00";12
"2022-11-13 17:00:00";31
"2022-11-13 18:00:00";37
"2022-11-13 19:00:00";14
"2022-11-13 20:00:00";358
"2022-11-13 21:00:00";358
"2022-11-13 22:00:00";354
"2022-11-13 23:00:00";356
"2022-11-14 00:00:00";17
"2022-11-14 01:00:00";6
"2022-11-14 02:00:00";6
"2022-11-14 03:00:00";360
"2022-11-14 04:00:00";356
"2022-11-14 05:00:00";359
"2022-11-14 06:00:00";356
"2022-11-14 07:00:00";1
"2022-11-14 08:00:00";3
"2022-11-14 09:00:00";338
"2022-11-14 10:00:00";6
"2022-11-14 11:00:00";350
"2022-11-14 12:00:00";352
"2022-11-14 13:00:00";23
"2022-11-14 14:00:00";37
"2022-11-14 15:00:00";17
"2022-11-14 16:00:00";34
"2022-11-14 17:00:00";8
"2022-11-14 18:00:00";18
"2022-11-14 19:00:00";15
"2022-11-14 20:00:00";33
